STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,TOT,,7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,TOT,,5.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISR,Israel,JE_LMIS,Labour market insecurity,L,Value,TOT,,4.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,TOT,,6.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,TOT,,5.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,JE_LMIS,Labour market insecurity,L,Value,TOT,,5.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,TOT,,3.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,SW_LIFS,Life satisfaction,L,Value,TOT,,7.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,SW_LIFS,Life satisfaction,L,Value,TOT,,7.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,SW_LIFS,Life satisfaction,L,Value,TOT,,6.8,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,SW_LIFS,Life satisfaction,L,Value,TOT,,7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CZE,Czechia,SW_LIFS,Life satisfaction,L,Value,TOT,,6.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DNK,Denmark,SW_LIFS,Life satisfaction,L,Value,TOT,,7.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,SW_LIFS,Life satisfaction,L,Value,TOT,,7.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,SW_LIFS,Life satisfaction,L,Value,TOT,,6.7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,SW_LIFS,Life satisfaction,L,Value,TOT,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,SW_LIFS,Life satisfaction,L,Value,TOT,,5.8,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,SW_LIFS,Life satisfaction,L,Value,TOT,,6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISL,Iceland,SW_LIFS,Life satisfaction,L,Value,TOT,,7.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,SW_LIFS,Life satisfaction,L,Value,TOT,,7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,SW_LIFS,Life satisfaction,L,Value,TOT,,6.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,SW_LIFS,Life satisfaction,L,Value,TOT,,6.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,SW_LIFS,Life satisfaction,L,Value,TOT,,5.8,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LUX,Luxembourg,SW_LIFS,Life satisfaction,L,Value,TOT,,7.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,MEX,Mexico,SW_LIFS,Life satisfaction,L,Value,TOT,,6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,SW_LIFS,Life satisfaction,L,Value,TOT,,7.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NZL,New Zealand,SW_LIFS,Life satisfaction,L,Value,TOT,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,SW_LIFS,Life satisfaction,L,Value,TOT,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,SW_LIFS,Life satisfaction,L,Value,TOT,,6.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,SW_LIFS,Life satisfaction,L,Value,TOT,,5.8,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVK,Slovak Republic,SW_LIFS,Life satisfaction,L,Value,TOT,,6.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,SW_LIFS,Life satisfaction,L,Value,TOT,,6.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,SW_LIFS,Life satisfaction,L,Value,TOT,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHE,Switzerland,SW_LIFS,Life satisfaction,L,Value,TOT,,7.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,SW_LIFS,Life satisfaction,L,Value,TOT,,4.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,SW_LIFS,Life satisfaction,L,Value,TOT,,6.8,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,SW_LIFS,Life satisfaction,L,Value,TOT,,7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BRA,Brazil,SW_LIFS,Life satisfaction,L,Value,TOT,,6.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHL,Chile,SW_LIFS,Life satisfaction,L,Value,TOT,,6.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,SW_LIFS,Life satisfaction,L,Value,TOT,,6.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISR,Israel,SW_LIFS,Life satisfaction,L,Value,TOT,,7.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LVA,Latvia,SW_LIFS,Life satisfaction,L,Value,TOT,,6.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,RUS,Russia,SW_LIFS,Life satisfaction,L,Value,TOT,,5.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVN,Slovenia,SW_LIFS,Life satisfaction,L,Value,TOT,,6.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ZAF,South Africa,SW_LIFS,Life satisfaction,L,Value,TOT,,4.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,SW_LIFS,Life satisfaction,L,Value,TOT,,6.7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,SW_LIFS,Life satisfaction,L,Value,MN,,7.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,SW_LIFS,Life satisfaction,L,Value,MN,,7.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,SW_LIFS,Life satisfaction,L,Value,MN,,6.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,SW_LIFS,Life satisfaction,L,Value,MN,,7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CZE,Czechia,SW_LIFS,Life satisfaction,L,Value,MN,,6.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DNK,Denmark,SW_LIFS,Life satisfaction,L,Value,MN,,7.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,SW_LIFS,Life satisfaction,L,Value,MN,,7.7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,SW_LIFS,Life satisfaction,L,Value,MN,,6.8,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,SW_LIFS,Life satisfaction,L,Value,MN,,7.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,SW_LIFS,Life satisfaction,L,Value,MN,,6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,SW_LIFS,Life satisfaction,L,Value,MN,,6.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISL,Iceland,SW_LIFS,Life satisfaction,L,Value,MN,,7.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,SW_LIFS,Life satisfaction,L,Value,MN,,6.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,SW_LIFS,Life satisfaction,L,Value,MN,,6.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,SW_LIFS,Life satisfaction,L,Value,MN,,5.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,SW_LIFS,Life satisfaction,L,Value,MN,,5.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,MEX,Mexico,SW_LIFS,Life satisfaction,L,Value,MN,,6.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,SW_LIFS,Life satisfaction,L,Value,MN,,7.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NZL,New Zealand,SW_LIFS,Life satisfaction,L,Value,MN,,7.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,SW_LIFS,Life satisfaction,L,Value,MN,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,SW_LIFS,Life satisfaction,L,Value,MN,,6.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,SW_LIFS,Life satisfaction,L,Value,MN,,6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVK,Slovak Republic,SW_LIFS,Life satisfaction,L,Value,MN,,6.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,SW_LIFS,Life satisfaction,L,Value,MN,,6.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,SW_LIFS,Life satisfaction,L,Value,MN,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHE,Switzerland,SW_LIFS,Life satisfaction,L,Value,MN,,7.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,SW_LIFS,Life satisfaction,L,Value,MN,,4.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,SW_LIFS,Life satisfaction,L,Value,MN,,6.7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,SW_LIFS,Life satisfaction,L,Value,MN,,7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BRA,Brazil,SW_LIFS,Life satisfaction,L,Value,MN,,6.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHL,Chile,SW_LIFS,Life satisfaction,L,Value,MN,,6.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,SW_LIFS,Life satisfaction,L,Value,MN,,6.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISR,Israel,SW_LIFS,Life satisfaction,L,Value,MN,,7.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LVA,Latvia,SW_LIFS,Life satisfaction,L,Value,MN,,6.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,RUS,Russia,SW_LIFS,Life satisfaction,L,Value,MN,,5.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVN,Slovenia,SW_LIFS,Life satisfaction,L,Value,MN,,6.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ZAF,South Africa,SW_LIFS,Life satisfaction,L,Value,MN,,4.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,SW_LIFS,Life satisfaction,L,Value,MN,,6.7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,SW_LIFS,Life satisfaction,L,Value,WMN,,7.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,SW_LIFS,Life satisfaction,L,Value,WMN,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,SW_LIFS,Life satisfaction,L,Value,WMN,,6.8,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,SW_LIFS,Life satisfaction,L,Value,WMN,,7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CZE,Czechia,SW_LIFS,Life satisfaction,L,Value,WMN,,6.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DNK,Denmark,SW_LIFS,Life satisfaction,L,Value,WMN,,7.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,SW_LIFS,Life satisfaction,L,Value,WMN,,8.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,SW_LIFS,Life satisfaction,L,Value,WMN,,6.7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,SW_LIFS,Life satisfaction,L,Value,WMN,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,SW_LIFS,Life satisfaction,L,Value,WMN,,5.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,SW_LIFS,Life satisfaction,L,Value,WMN,,5.8,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISL,Iceland,SW_LIFS,Life satisfaction,L,Value,WMN,,7.7,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,SW_LIFS,Life satisfaction,L,Value,WMN,,7.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,SW_LIFS,Life satisfaction,L,Value,WMN,,6.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,SW_LIFS,Life satisfaction,L,Value,WMN,,6.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,SW_LIFS,Life satisfaction,L,Value,WMN,,6.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LUX,Luxembourg,SW_LIFS,Life satisfaction,L,Value,WMN,,7.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,MEX,Mexico,SW_LIFS,Life satisfaction,L,Value,WMN,,5.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,SW_LIFS,Life satisfaction,L,Value,WMN,,7.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NZL,New Zealand,SW_LIFS,Life satisfaction,L,Value,WMN,,7.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,SW_LIFS,Life satisfaction,L,Value,WMN,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,SW_LIFS,Life satisfaction,L,Value,WMN,,6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,SW_LIFS,Life satisfaction,L,Value,WMN,,5.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVK,Slovak Republic,SW_LIFS,Life satisfaction,L,Value,WMN,,6.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,SW_LIFS,Life satisfaction,L,Value,WMN,,6.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,SW_LIFS,Life satisfaction,L,Value,WMN,,7.3,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHE,Switzerland,SW_LIFS,Life satisfaction,L,Value,WMN,,7.5,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,SW_LIFS,Life satisfaction,L,Value,WMN,,5.4,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,SW_LIFS,Life satisfaction,L,Value,WMN,,6.9,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,SW_LIFS,Life satisfaction,L,Value,WMN,,7.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BRA,Brazil,SW_LIFS,Life satisfaction,L,Value,WMN,,6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CHL,Chile,SW_LIFS,Life satisfaction,L,Value,WMN,,6.1,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,SW_LIFS,Life satisfaction,L,Value,WMN,,6.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISR,Israel,SW_LIFS,Life satisfaction,L,Value,WMN,,7.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LVA,Latvia,SW_LIFS,Life satisfaction,L,Value,WMN,,6.2,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,RUS,Russia,SW_LIFS,Life satisfaction,L,Value,WMN,,5.6,,A,,AVSCORE,Average score,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVN,Slovenia,SW_LIFS,Life satisfaction,L,Value,WMN,,6.4,,A,,AVSCORE,Average score,0,Units,,
